Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2013,103179,Fleetwood Mine No 1,Alabama,Tuscaloosa,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148", ,Appalachia Southern,75937,22,63745
2013,103303,Shannon Mine,Alabama,Tuscaloosa,"Active, men working, not producing",Surface,Operating Subsidiary,Mine only,"Shannon, Llc","120 N Walston Bridge Rd Bldg 2, Jasper, AL 35504", ,Appalachia Southern,317491,155,164388
2013,103323,Deerlick Mine,Alabama,Tuscaloosa,Active,Surface,Indepedent Producer Operator,Mine only,"Cahaba Resources, Llc","P.O. Box 122, Vance, AL 35490", ,Appalachia Southern,133452,24,46381
2013,103364,Brc Alabama No. 7 Llc,Alabama,Tuscaloosa,Active,Underground,Indepedent Producer Operator,Preparation Plant,Brc Alabama No. 7 Llc,"P.O. Box 157, Brookwood, AL 35444", ,Appalachia Southern,0,12,14324
2013,103436,Swann's Crossing,Alabama,Tuscaloosa,Temporarily closed,Surface,Operating Subsidiary,Mine only,"Tuscaloosa Resources, Inc.","3000 Riverchase Galleria, Suit, Birmingham, AL 35244",UNIT,Appalachia Southern,137511,38,77190
2013,100347,Choctaw Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Taft Coal Sales & Associates I,"3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",UNIT,Appalachia Southern,537429,82,215295
2013,101362,Manchester Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148", ,Appalachia Southern,219457,41,116914
2013,102996,Jap Creek Mine,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,Reed Minerals Inc,"3699 Industrial Pkwy, Jasper, AL 35501", ,Appalachia Southern,375715,61,164093
2013,103155,Corinth Prep Plant,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503", ,Appalachia Southern,0,12,27996
2013,103155,Corinth Prep Plant,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Preparation Plant,Warrior Investment Company Inc,"218 Highway 195, Jasper, AL 35503", ,Appalachia Southern,0,22,51994
2013,103195,Mccollum/Sparks Branch Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,"Quality Coal, Inc.","17405 Hwy 69 S, Jasper, AL 35501", ,Appalachia Southern,71910,10,17411
2013,103342,Reese's Branch Mine,Alabama,Walker,Active,Surface,Contractor,Mine only,"Cedar Lake Mining, Inc","2600 Warrior Jasper Road, Warrior, AL 35180", ,Appalachia Southern,263888,56,115123
2013,103370,Cresent Valley Mine,Alabama,Walker,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"Reed Minerals, Inc","P.O. Box 2420, Jasper, AL 35502", ,Appalachia Southern,2860,1,621
2013,103372,Cane Creek Mine,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,Cane Creek Llc,"P.O. Box 1253, Cullman, AL 35056", ,Appalachia Southern,66258,13,32401
2013,103376,Town Creek,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,Reed Minerals Inc,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,299167,60,176499
2013,103389,Carbon Hill Mine,Alabama,Walker,Active,Underground,Indepedent Producer Operator,Mine only,Prospect Mining And Developmen,"218 Hwy 195, Jasper, AL 35503", ,Appalachia Southern,76241,37,84966
2013,103410,Coal Valley Mine,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,"Xinergy Of Alabama, Inc.","2600 Warrior Jasper Rd, Warrior, AL 35180", ,Appalachia Southern,407841,59,158591
2013,103423,Dutton Hill Mine,Alabama,Walker,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Quality Coal Company, Inc.","17405 Hwy 69 S, Jasper, AL 35501", ,Appalachia Southern,37275,5,9162
2013,1519322,Ghm #25,Alabama,Walker,Active,Surface,Indepedent Producer Operator,Mine only,Green Hill Mining Inc,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,25054,2,3108
2013,103321,Poplar Springs,Alabama,Winston,Active,Surface,Indepedent Producer Operator,Mine only,"Reed Minerals, Inc.","P.O. Box 2420, Jasper, AL 35502", ,Appalachia Southern,189370,41,76366
2013,103358,Old Union,Alabama,Winston,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"912 Edenton St, Birmingham, AL 35242", ,Appalachia Southern,284563,60,161805
2013,5000030,Usibelli,Alaska,Fairbanks North Star,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine I,"P.O. Box 1000, Healy, AK 99743",INTE,Western,1631584,125,286079
2013,201195,Kayenta Mine,Arizona,Navajo,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 650, Kayenta, AZ 86033",United Mine Workers of America,Western,7602722,405,1015333
2013,301569,Penny #1,Arkansas,Sebastian,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Comer Mining Company,"P.O. Box 986, Greenwood, AR 72936", ,Interior,3973,2,2790
2013,301736,Sebastian Mine,Arkansas,Sebastian,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Sebastian Management Llc,"P.O. Box 339, Hartford, AR 72938", ,Interior,54605,52,116473
2013,504591,Bowie No 2 Mine,Colorado,Delta,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Bowie Resources Llc,"P.O. Box 1488, Paonia, CO 81428", ,Uinta Region,3320696,365,760650
2013,503672,West Elk Mine,Colorado,Gunnison,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Mountain Coal Company, L.L.C.","P.O. Box 591, Somerset, CO 81434", ,Uinta Region,5826798,357,747608
2013,504674,Elk Creek Mine,Colorado,Gunnison,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,"Oxbow Mining, Llc","P.O. Box 535, Somerset, CO 81434", ,Uinta Region,436381,262,411836
2013,504864,King Ii,Colorado,La Plata,Active,Underground,Operating Subsidiary,Mine only,Gcc Energy Llc,"6473 County Road 120, Hesperus, CO 81326", ,Western,734993,104,240773
2013,504461,New Elk Prep Plant,Colorado,Las Animas,"Active, men working, not producing",Underground,Indepedent Producer Operator,Preparation Plant,New Elk Coal Company Llc,"12250 Hwy 12, Weston, CO 81091", ,Western,0,18,33939
2013,502838,Trapper Mine,Colorado,Moffat,Active,Surface,Indepedent Producer Operator,Mine only,Trapper Mining Inc,"P.O. Box 187, Craig, CO 81626",International Union of Operation Engineers,Uinta Region,1944633,183,349809
2013,502962,Colowyo Mine,Colorado,Moffat,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Colowyo Coal Company L P,"5731 State Highway 13, Meeker, CO 81641", ,Uinta Region,2309118,243,485411
2013,500299,New Horizon Mine,Colorado,Montrose,Active,Surface,Operating Subsidiary,Mine only,"Western Fuels-Colorado, Llc","P.O. Box 628, Nucla, CO 81424",UNIT,Western,216486,27,51133
2013,503505,Deserado Mine,Colorado,Rio Blanco,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Blue Mountain Energy Inc,"3607 County Road #65, Rangely, CO 81648",UNIT,Uinta Region,1861494,164,324818
2013,4801645,Addcar System 18 Hwm Serial No,Colorado,Rio Blanco,Active,Surface,Indepedent Producer Operator,Mine only,Ugm Addcar Systems Llc,"No. 1 Hwm Drive, Ashland, KY 41102", ,Uinta Region,350060,17,35687
2013,503836,Foidel Creek Mine,Colorado,Routt,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Peabody Twentymile Mining Llc,"29515 Routt Cnty Rd#27, Oak Creek, CO 80467", ,Uinta Region,7235627,435,970682
2013,1103189,Mc#1 Mine,Illinois,Franklin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,M-Class Mining Llc,"11351 N. Thompsonville Rd., Macedonia, IL 62860", ,Illinois Basin,6493536,244,586485
2013,1103017,Wildcat Hills Mine - Cottage G,Illinois,Gallatin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715", ,Illinois Basin,2016232,190,454881
2013,1103203,White Oak Mine No. 1,Illinois,Hamilton,Active,Underground,Indepedent Producer Operator,Mine only,White Oak Resources Llc,"P.O. Box 339, Mcleansboro, IL 62859", ,Illinois Basin,185566,104,218915
2013,1103242,Alliance Wor Processing,Illinois,Hamilton,Active,Underground,Indepedent Producer Operator,Preparation Plant,Alliance Wor Processing,"Rt. 1,  Bocx 184-B, Dahlgren, IL 62828", ,Illinois Basin,0,11,17414
